slide_id,tissue_diagnosis,num_tiles,tissue
GTEX-1117F-0126,Skin,6533,Skin
GTEX-1117F-0226,Adipose,3146,Adipose
GTEX-1117F-0326,Nerve,986,Nerve
GTEX-1117F-0426,Muscle,4113,Muscle
GTEX-1117F-0526,Artery,401,Artery
GTEX-1117F-0626,Artery,2483,Artery
GTEX-1117F-0726,Heart,4697,Heart
GTEX-1117F-0826,Heart,7433,Heart
GTEX-1117F-0926,Artery,5586,Artery
GTEX-1117F-1026,Lung,3621,Lung
GTEX-1117F-1126,Liver,6080,Liver
GTEX-1117F-1226,Spleen,7183,Spleen
GTEX-1117F-1326,Adipose,6470,Adipose
GTEX-1117F-1426,Thyroid,7442,Thyroid
GTEX-1117F-1526,Esophagus,2466,Esophagus
GTEX-1117F-1626,Esophagus,6073,Esophagus
GTEX-1117F-1726,Pancreas,4798,Pancreas
GTEX-1117F-1826,Esophagus,6200,Esophagus
GTEX-1117F-1926,Kidney,6161,Kidney
GTEX-1117F-2026,Stomach,6107,Stomach
GTEX-1117F-2126,Kidney,6200,Kidney
GTEX-1117F-2226,Ovary,8991,Ovary
GTEX-1117F-2326,Colon,6752,Colon
GTEX-1117F-2426,Uterus,8206,Uterus
GTEX-1117F-2526,Vagina,8502,Vagina
GTEX-1117F-2626,Small Intestine,4622,Small Intestine
GTEX-1117F-2726,Colon,3984,Colon
GTEX-1117F-2826,Breast,5767,Breast
GTEX-1117F-2926,Skin,7617,Skin
GTEX-1117F-3026,Adrenal Gland,1567,Adrenal Gland
GTEX-1117F-3126,Pituitary,1224,Pituitary
GTEX-1117F-3226,Brain,9044,Brain
GTEX-1117F-3326,Brain,9456,Brain
GTEX-111CU-0126,Adrenal Gland,10327,Adrenal Gland
GTEX-111CU-0226,Thyroid,10776,Thyroid
GTEX-111CU-0326,Lung,15207,Lung
GTEX-111CU-0426,Spleen,16043,Spleen
GTEX-111CU-0526,Pancreas,1325,Pancreas
GTEX-111CU-0626,Esophagus,16198,Esophagus
GTEX-111CU-0726,Esophagus,10698,Esophagus
GTEX-111CU-0826,Esophagus,21051,Esophagus
GTEX-111CU-0926,Stomach,9104,Stomach
GTEX-111CU-1026,Adipose,6329,Adipose
GTEX-111CU-1126,Skin,17637,Skin
GTEX-111CU-1226,Colon,23464,Colon
GTEX-111CU-1326,Small Intestine,5891,Small Intestine
GTEX-111CU-1426,Colon,3843,Colon
GTEX-111CU-1526,Prostate,23284,Prostate
GTEX-111CU-1626,Breast,5595,Breast
GTEX-111CU-1726,Testis,18150,Testis
GTEX-111CU-1826,Adipose,5466,Adipose
GTEX-111CU-1926,Skin,13082,Skin
GTEX-111CU-2026,Muscle,15955,Muscle
GTEX-111CU-2126,Artery,13642,Artery
GTEX-111CU-2226,Nerve,12615,Nerve
GTEX-111FC-0126,Skin,11078,Skin
GTEX-111FC-0226,Adipose,3535,Adipose
GTEX-111FC-0326,Muscle,6800,Muscle
GTEX-111FC-0426,Artery,841,Artery
GTEX-111FC-0526,Nerve,1602,Nerve
GTEX-111FC-0626,Heart,6940,Heart
GTEX-111FC-0726,Artery,8349,Artery
GTEX-111FC-0826,Heart,9638,Heart
GTEX-111FC-0926,Artery,1910,Artery
GTEX-111FC-1026,Thyroid,4967,Thyroid
GTEX-111FC-1126,Lung,4708,Lung
GTEX-111FC-1226,Liver,9403,Liver
GTEX-111FC-1326,Spleen,5619,Spleen
GTEX-111FC-1426,Adipose,2053,Adipose
GTEX-111FC-1526,Pancreas,5946,Pancreas
GTEX-111FC-1626,Esophagus,5271,Esophagus
GTEX-111FC-1726,Esophagus,3169,Esophagus
GTEX-111FC-1826,Esophagus,3113,Esophagus
GTEX-111FC-1926,Testis,3189,Testis
GTEX-111FC-2026,Prostate,6207,Prostate
GTEX-111FC-2126,Stomach,5012,Stomach
GTEX-111FC-2226,Colon,4349,Colon
GTEX-111FC-2326,Colon,5983,Colon
GTEX-111FC-2426,Breast,2192,Breast
GTEX-111FC-2526,Skin,8043,Skin
GTEX-111FC-2626,Small Intestine,4253,Small Intestine
GTEX-111FC-2726,Adrenal Gland,5276,Adrenal Gland
GTEX-111FC-2826,Kidney,8904,Kidney
GTEX-111FC-2926,Adrenal Gland,539,Adrenal Gland
GTEX-111FC-3026,Pituitary,2079,Pituitary
GTEX-111FC-3126,Brain,8871,Brain
GTEX-111FC-3326,Brain,5009,Brain
GTEX-111VG-0126,Artery,5817,Artery
GTEX-111VG-0226,Artery,2833,Artery
GTEX-111VG-0326,Heart,8248,Heart
GTEX-111VG-0426,Heart,8714,Heart
GTEX-111VG-0526,Thyroid,11104,Thyroid
GTEX-111VG-0626,Kidney,6960,Kidney
GTEX-111VG-0726,Lung,8472,Lung
GTEX-111VG-0826,Liver,17282,Liver
GTEX-111VG-0926,Pancreas,6716,Pancreas
GTEX-111VG-1026,Esophagus,10206,Esophagus
GTEX-111VG-1126,Esophagus,3327,Esophagus
GTEX-111VG-1226,Breast,2606,Breast
GTEX-111VG-1326,Esophagus,8771,Esophagus
GTEX-111VG-1426,Stomach,9651,Stomach
GTEX-111VG-1526,Adipose,8539,Adipose
GTEX-111VG-1626,Skin,16224,Skin
GTEX-111VG-1726,Adrenal Gland,6735,Adrenal Gland
GTEX-111VG-1826,Prostate,9235,Prostate
GTEX-111VG-1926,Testis,7255,Testis
GTEX-111VG-2026,Small Intestine,5522,Small Intestine
GTEX-111VG-2126,Colon,8320,Colon
GTEX-111VG-2226,Colon,4150,Colon
GTEX-111VG-2326,Adipose,4287,Adipose
GTEX-111VG-2426,Skin,8861,Skin
GTEX-111VG-2526,Nerve,9179,Nerve
GTEX-111VG-2626,Muscle,16456,Muscle
GTEX-111VG-2726,Artery,9246,Artery
GTEX-111VG-2826,Brain,14488,Brain
GTEX-111VG-2926,Brain,10001,Brain
GTEX-111VG-3026,Pituitary,10465,Pituitary
GTEX-111YS-0126,Adrenal Gland,5121,Adrenal Gland
GTEX-111YS-0226,Spleen,6481,Spleen
GTEX-111YS-0326,Heart,1916,Heart
GTEX-111YS-0426,Heart,3088,Heart
GTEX-111YS-0526,Artery,5489,Artery
GTEX-111YS-0626,Lung,3307,Lung
GTEX-111YS-0726,Thyroid,2442,Thyroid
GTEX-111YS-0826,Esophagus,8571,Esophagus
GTEX-111YS-0926,Esophagus,6427,Esophagus
GTEX-111YS-1026,Esophagus,4201,Esophagus
GTEX-111YS-1126,Stomach,9015,Stomach
GTEX-111YS-1226,Pancreas,684,Pancreas
GTEX-111YS-1326,Adipose,1044,Adipose
GTEX-111YS-1426,Small Intestine,3701,Small Intestine
GTEX-111YS-1526,Skin,7767,Skin
GTEX-111YS-1626,Colon,6031,Colon
GTEX-111YS-1726,Prostate,6005,Prostate
GTEX-111YS-1826,Colon,6156,Colon
GTEX-111YS-1926,Breast,3551,Breast
GTEX-111YS-2026,Testis,4272,Testis
GTEX-111YS-2126,Nerve,2328,Nerve
GTEX-111YS-2226,Artery,1865,Artery
GTEX-111YS-2326,Muscle,4470,Muscle
GTEX-111YS-2426,Adipose,749,Adipose
GTEX-111YS-2526,Skin,5015,Skin
GTEX-1122O-0126,Lung,9648,Lung
GTEX-1122O-0226,Thyroid,16030,Thyroid
GTEX-1122O-0326,Adrenal Gland,10159,Adrenal Gland
GTEX-1122O-0426,Artery,1673,Artery
GTEX-1122O-0526,Spleen,7513,Spleen
GTEX-1122O-0626,Heart,5601,Heart
GTEX-1122O-0726,Pancreas,516,Pancreas
GTEX-1122O-0826,Heart,6937,Heart
GTEX-1122O-0926,Adipose,2899,Adipose
GTEX-1122O-1026,Skin,17761,Skin
GTEX-1122O-1126,Artery,10932,Artery
GTEX-1122O-1226,Breast,5691,Breast
GTEX-1122O-1326,Small Intestine,8311,Small Intestine
GTEX-1122O-1426,Colon,23135,Colon
GTEX-1122O-1526,Colon,8991,Colon
GTEX-1122O-1626,Esophagus,18646,Esophagus
GTEX-1122O-1726,Esophagus,6759,Esophagus
GTEX-1122O-1826,Esophagus,18780,Esophagus
GTEX-1122O-1926,Stomach,6294,Stomach
GTEX-1122O-2026,Adipose,2060,Adipose
GTEX-1122O-2126,Skin,8603,Skin
GTEX-1122O-2226,Nerve,5443,Nerve
GTEX-1122O-2326,Artery,5318,Artery
GTEX-1122O-2426,Muscle,11950,Muscle
GTEX-1128S-0126,Thyroid,12837,Thyroid
GTEX-1128S-0226,Spleen,12933,Spleen
GTEX-1128S-0326,Artery,8661,Artery
GTEX-1128S-0426,Heart,9002,Heart
GTEX-1128S-0526,Artery,3675,Artery
GTEX-1128S-0626,Heart,9275,Heart
GTEX-1128S-0726,Lung,9700,Lung
GTEX-1128S-0826,Pancreas,9311,Pancreas
GTEX-1128S-0926,Adipose,1593,Adipose
GTEX-1128S-1026,Kidney,7266,Kidney
GTEX-1128S-1126,Breast,5147,Breast
GTEX-1128S-1226,Esophagus,11799,Esophagus
GTEX-1128S-1326,Esophagus,13374,Esophagus
GTEX-1128S-1426,Esophagus,4617,Esophagus
GTEX-1128S-1526,Stomach,4988,Stomach
GTEX-1128S-1626,Colon,4620,Colon
GTEX-1128S-1726,Small Intestine,6204,Small Intestine
GTEX-1128S-1826,Skin,7568,Skin
GTEX-1128S-1926,Pancreas,8297,Pancreas
GTEX-1128S-2026,Colon,4696,Colon
GTEX-1128S-2126,Adipose,534,Adipose
GTEX-1128S-2226,Nerve,3327,Nerve
GTEX-1128S-2326,Skin,5733,Skin
GTEX-1128S-2426,Muscle,8708,Muscle
GTEX-1128S-2526,Artery,4163,Artery
GTEX-1128S-2626,Pituitary,16035,Pituitary
GTEX-1128S-2726,Brain,8081,Brain
GTEX-1128S-2826,Brain,11976,Brain
GTEX-113IC-0126,Skin,10096,Skin
GTEX-113IC-0226,Adipose,7081,Adipose
GTEX-113IC-0326,Muscle,6266,Muscle
GTEX-113IC-0426,Artery,1050,Artery
GTEX-113IC-0526,Nerve,2515,Nerve
GTEX-113JC-0126,Thyroid,11625,Thyroid
GTEX-113JC-0226,Artery,11296,Artery
GTEX-113JC-0326,Spleen,10081,Spleen
GTEX-113JC-0426,Liver,10256,Liver
GTEX-113JC-0526,Pancreas,11928,Pancreas
GTEX-113JC-0626,Kidney,6661,Kidney
GTEX-113JC-0726,Adipose,2550,Adipose
GTEX-113JC-0826,Adrenal Gland,8787,Adrenal Gland
GTEX-113JC-0926,Esophagus,11958,Esophagus
GTEX-113JC-1026,Esophagus,10429,Esophagus
GTEX-113JC-1126,Esophagus,5523,Esophagus
GTEX-113JC-1226,Stomach,12483,Stomach
GTEX-113JC-1326,Lung,9913,Lung
GTEX-113JC-1426,Breast,2955,Breast
GTEX-113JC-1526,Skin,13456,Skin
GTEX-113JC-1626,Small Intestine,6549,Small Intestine
GTEX-113JC-1726,Colon,7336,Colon
GTEX-113JC-1826,Colon,7737,Colon
GTEX-113JC-1926,Vagina,12400,Vagina
GTEX-113JC-2026,Ovary,16038,Ovary
GTEX-113JC-2226,Uterus,14584,Uterus
GTEX-113JC-2326,Skin,6118,Skin
GTEX-113JC-2426,Nerve,2247,Nerve
GTEX-113JC-2526,Adipose,1653,Adipose
GTEX-113JC-2626,Artery,1409,Artery
GTEX-113JC-2726,Muscle,12919,Muscle
GTEX-113JC-2826,Pituitary,14945,Pituitary
GTEX-113JC-2926,Brain,14258,Brain
GTEX-113JC-3026,Brain,17840,Brain
